,unnormalized,normalized
5180,This project is manageable .,This project is manageable.
5181,ittttttt mattrd oN Sunday .,it mattered on Sunday.
5182,I saw John on Sunday .,I saw John on Sunday.
5183,I puT the book on the desk on Sundy .,I put the book on the desk on Sunday.
5184,I saw John wth a telscope .,I saw John with a telescope.
5185,III coverd the bread with butter .,I covered the bread with butter.
5186,Mary will complete her examm within an hour .,Mary will complete her exam within an hour.
5187,The hiker will reach the top of the mountain withinnn an hour .,The hiker will reach the top of the mountain within an hour.
5188,Henri will paint d fLOorr fr an houur .,Henri will paint the floor for an hour.
5189,I will readdd linguistics for an hourrrr .,I will read linguistics for an hour.
5190,the student lefttt .,the student left.
5191,only the student left .,only the student left.
5192,even the studentt lefft .,even the student left.
5193,all the stdueeents lEft .,all the students left.
5194,I saw the student .,I saw the student.
5195,I saww nly the student .,I saw only the student.
5196,I sw all the students .,I saw all the students.
5197,"Johnn , who III saw yesterday , will visit us .","John, who I saw yesterday, will visit us."
5198,I saw the brlliatt student .,I saw the brilliant student.
5199,IIII saw the brilliant one .,I saw the brilliant one.
5200,I saw the brlliant student with long har .,I saw the brilliant student with long hair.
5201,I saw the brilliantt one with lonng hAir .,I saw the brilliant one with long hair.
5202,I saw the one with long hair .,I saw the one with long hair.
5203,I saw the physicsss student .,I saw the physics student.
5204,I sawwww the stttudentt of physics .,I saw the student of physics.
5205,I saw th studnt of fycics wid lng Hair .,I saw the student of physics with long hair.
5206,The big sttudent of physics with lng hair inn the library .,The big student of physics with long hair in the library.
5207,It is big .,It is big.
5208,It is with long hair .,It is with long hair.
5209,ITt is in the liBrary .,It is in the library.
5210,dey are intense .,They are intense.
5211,They intensfiied .,They intensified.
5212,They are special .,They are special.
5213,They specialized .,They specialized.
5214,She iss prrrroud .,She is proud.
5215,she Is the mother .,she is the mother.
5216,shee is the mother of Jhnn .,she is the mother of John.
5217,They read the paper .,They read the paper.
5218,The paperr is readable .,The paper is readable.
5219,The driver of the car thnks that Mary should leave Dallas for Boise tomrrow .,The driver of the car thinks that Mary should leave Dallas for Boise tomorrow.
5220,Her littleee sister will disagree with herrr .,Her little sister will disagree with her.
5221,Th girl he mettt at the dpartmental party will very surely call hm .,The girl he met at the departmental party will very surely call him.
5222,Beavers build dams .,Beavers build dams.
5223,John will see yuuuuu .,John will see you.
5224,John thinks that Mary Left .,John thinks that Mary left.
5225,John thinks Mary left .,John thinks Mary left.
5226,Johnnn whispered th8 Mary left .,John whispered that Mary left.
5227,John will carrefully sTudY Russin .,John will carefully study Russian.
5228,John carefully stdes RRRussiannnnn .,John carefully studies Russian.
5229,I wonder if She will use painTs .,I wonder if she will use paints.
5230,"Yes , she will .","Yes, she will."
5231,I wonder if she used paints .,I wonder if she used paints.
5232,"Yes , she diddddddd .","Yes, she did."
5233,Johnnn will hvE ben eating cake .,John will have been eating cake.
5234,"mArY wont have benn ting cake , but John will .","Mary wont have been eating cake, but John will."
5235,"Mary wonttt have been eating cke , but John wwwil hhavv .","Mary wont have been eating cake, but John will have."
5236,"Mary wont havE been eating cake , butttttttttt John will have been .","Mary wont have been eating cake, but John will have been."
5237,John will enthusiastically have been Eatinggg cake .,John will enthusiastically have been eating cake.
5238,John will have enthusiastiically been eating cake .,John will have enthusiastically been eating cake.
5239,Johnnn will have been e8ing cake enthusiastically .,John will have been eating cake enthusiastically.
5240,Johnnn has craefully studied Russian .,John has carefully studied Russian.
5241,John had carefUlly studied Russian .,John had carefully studied Russian.
5242,John is carefully studyiNg Russian .,John is carefully studying Russian.
5243,John Wass ccarefullly stduyng Russian .,John was carefully studying Russian.
5244,John goes to schoolllllll .,John goes to school.
5245,Mary thinks that Bill will come .,Mary thinks that Bill will come.
5246,Mary wonders whether Bill will coMe .,Mary wonders whether Bill will come.
5247,Mary prefers for Billl to comee .,Mary prefers for Bill to come.
5248,I wondrr has Mary workd for Mcrosoft .,I wonder has Mary worked for Microsoft.
5249,I wnoder wehther Mary hs worked forrrrrrr MicroSOft .,I wonder whether Mary has worked for Microsoft.
5250,WWWill John not go to school ?,Will John not go to school?
5251,Hs Henrii not sudied for his exam ?,Has Henri not studied for his exam?
5252,Ddd Sue not pass her exam ?,Did Sue not pass her exam?
5253,Wont John Go to school ?,Wont John go to school?
5254,Shlnt Mary taste thee soup ?,Shouldnt Mary taste the soup?
5255,Hasnt Her studied for his exam ?,Hasnt Henri studied for his exam?
5256,Insttt Bill sick ?,Isnt Bill sick?
5257,Didntttt Sue pass hEr eksam ?,Didnt Sue pass her exam?
5258,she willllllll wnnn the race .,she will win the race.
5259,"Elmer finished the cake and Jhn ddiddd too , finsh de Cake .","Elmer finished the cake and John did too, finish the cake."
5260,we need 2 provide two trees annd .,we need to provide two trees and.
5261,wee also need to explain the relation betwEEn these trees .,we also need to explain the relation between these trees.
5262,John didd not lke Maryy .,John did not like Mary.
5263,"John will endorse the treaty , but Georgs will nott endors the treaty .","John will endorse the treaty, but Georges will not endorse the treaty."
5264,Will Gorge indeed not norse thee treaty ?,Will George indeed not endorse the treaty?
5265,He will idndd endorse the treaty .,He will indeed endorse the treaty.
5266,He will nt endose the treatYy ; and indeed .,He will not endorse the treaty; and indeed.
5267,John thins that Bill lft .,John thinks that Bill left.
5268,Jhn asked whether Bill lefttt .,John asked whether Bill left.
5269,John wass wonnnderingg whether tooo leav orr not .,John was wondering whether to leave or not.
5270,John was wondering whetheer to lav .,John was wondering whether to leave.
5271,Maary sent a book 2 BIll .,Mary sent a book to Bill.
5272,Mary sed a bok .,Mary send a book.
5273,"Mary sent Bill a book , … .","Mary sent Bill a book,…."
5274,We pt aaa book on the table .,We put a book on the table.
5275,We think dat Bill left .,We think that Bill left.
5276,We wonderr wtherrrrrrr Blll lft .,We wonder whether Bill left.
5277,Wee wonder if Bill lEft .,We wonder if Bill left.
5278,John came in .,John came in.
5279,"Then , John left .","Then, John left."
5280,He tok his umbrella .,He took his umbrella.
5281,He hurT himself with it when he tried to open it .,He hurt himself with it when he tried to open it.
5282,T idiot cant ven open an umbrella !,The idiot cant even open an umbrella!
5283,John cant eveN open an umbrella !,John cant even open an umbrella!
5284,John saiid h was sickkkk .,John said he was sick.
5285,The Ta who grdd him sayssss dat John did really well .,The TA who graded him says that John did really well.
5286,He shuld dci soon .,He should decide soon.
5287,Mary wrote a letter to him llast year .,Mary wrote a letter to him last year.
5288,Our rabbittt and the neighbors ccccatttt like each other .,Our rabbit and the neighbors cat like each other.
5289,The boys foghut with ach other .,The boys fought with each other.
5290,Each of our rabbit and the neghbors Cat likess theeeeeeeeee other .,Each of our rabbit and the neighbors cat likes the other.
5291,Each off the bys fught wid th other boys .,Each of the boys fought with the other boys.
5292,the boy likEs himself .,the boy likes himself.
5293,the girls lkes themselves .,the girls likes themselves.
5294,eeach of the grls likes hErself .,each of the girls likes herself.
5295,Mayrs pictreS of hersElff suprrIsed Bill .,Marys pictures of herself surprised Bill.
5296,I noTIcEd Johns ekscsive appriatonn of himseLf .,I noticed Johns excessive appreciation of himself.
5297,Mary noticed Johns excessive appreciation of himslf .,Mary noticed Johns excessive appreciation of himself.
5298,John loved the new Pictures f himself .,John loved the new pictures of himself.
5299,I shwed Mary several poRTraits of herselff .,I showed Mary several portraits of herself.
5300,Mary nticd that Johnn eexcccsesivelyy appreciates himself .,Mary noticed that John excessively appreciates himself.
5301,Mary appreciates only Johnn and herself .,Mary appreciates only John and herself.
5302,Mary really appreciates nd constantly praises herself and Sue konws it .,Mary really appreciates and constantly praises herself and Sue knows it.
5303,Jhn heard theirrr critiicsm of Each therr .,John heard their criticism of each other.
5304,John heardd ther criticism off thelves .,John heard their criticism of themselves.
5305,John likes himself .,John likes himself.
5306,The studentss are pruddd of themseLvs .,The students are proud of themselves.
5307,Evryone likes hismelf .,Everyone likes himself.
5308,No spy betrayed himselffffff .,No spy betrayed himself.
5309,I heard Johns crItcsm of himself .,I heard Johns criticism of himself.
5310,John heard that I criticized myself .,John heard that I criticized myself.
5311,Mary likes hersef .,Mary likes herself.
5312,the girls likesS them .,the girls likes them.
5313,Johns mthr likes him .,Johns mother likes him.
5314,John believvess ThattTt Bill saw himself .,John believes that Bill saw himself.
5315,John believes that Bill saw him .,John believes that Bill saw him.
5316,They lik ther boks .,They like their books.
5317,Evryn thinks he is smart .,Everyone thinks he is smart.
5318,Who in this class dinks he is smartt ?,Who in this class thinks he is smart?
5319,Bills mthr saw him .,Bills mother saw him.
5320,The mayor offff Johns hotowN wrote tO him .,The mayor of Johns hometown wrote to him.
5321,TT builder f hisss house visietd Peter .,The builder of his house visited Peter.
5322,That is a bird .,That is a bird.
5323,Thaaaats the truth .,Thats the truth.
5324,H is John .,He is John.
5325,Bob Dylan is Robert Zmmerman .,Bob Dylan is Robert Zimmerman.
5326,I lk Mary and she likes meE .,I like Mary and she likes me.
5327,She considers John pruod of his work .,She considers John proud of his work.
5328,Thhey saw Bill leav .,They saw Bill leave.
5329,Mary prefers that herr ice cream is in a conee .,Mary prefers that her ice cream is in a cone.
5330,Hry saw that Bll left .,Henry saw that Bill left.
5331,What Mry prefers iiiiis her ice cream in a conee .,What Mary prefers is her ice cream in a cone.
5332,Joohnn heard Mary describe herself .,John heard Mary describe herself.
5333,Mryyy conciders Johnn proudddd of hr .,Mary considers John proud of her.
5334,Mary considers Johnn proud offffff himsselff .,Mary considers John proud of himself.
5335,John believes himself too beee proud of May .,John believes himself to be proud of Mary.
5336,The pitcures of Bill she puttt onn youR dskk .,The pictures of Bill she put on your desk.
5337,WhicH picures of Bill did she put on ur desk .,Which pictures of Bill did she put on your desk.
5338,Susan wantd to sleep .,Susan wanted to sleep.
5339,She put the pictres of Bill n your desk .,She put the pictures of Bill on your desk.
5340,"TheeeeE pictures of Bill , she put on your desk .","The pictures of Bill, she put on your desk."
5341,You put which picture f Bill on his desk ?,You put which picture of Bill on his desk?
5342,Whch pcture of Bill did you put on his desk ?,Which picture of Bill did you put on his desk?
5343,How many strings did you sAy shee had To pull in order to do that ?,How many strings did you say she had to pull in order to do that?
5344,How much car do you think he would be taking of his ptents under dose circumsTanCeS ?,How much care do you think he would be taking of his patients under those circumstances?
5345,How mch headway is he likely to make .,How much headway is he likely to make.
5346,Whoo left Bill .,Who left Bill.
5347,Who did Bill leave .,Who did Bill leave.
5348,Whom did Bill leaveee .,Whom did Bill leave.
5349,Is thee anythinggg to do today ?,Is there anything to do today?
5350,Thre r two main ccharacters inn te novel .,There are two main characters in the novel.
5351,Thereee are 3 firemn available .,There are 3 firemen available.
5352,There were seven people .,There were seven people.
5353,There were several doctors available .,There were several doctors available.
5354,"Rodeny wS etng some skudd , wsnt hee ?","Rodney was eating some squid, wasnt he?"
5355,"Ther is a man ready to JUmp frrom the Roofff , isntt there ?","There is a man ready to jump from the roof, isnt there?"
5356,Sharks seem to swim slowly in the tropicsss .,Sharks seem to swim slowly in the tropics.
5357,Theeee cat seems to be ot of thE bAg .,the cat seems to be out of the bag.
5358,thE shitttt seems to have hit the fan .,the shit seems to have hit the fan.
5359,dere seemss to be aaa nnurse vliale .,There seems to be a nurse available.
5360,t seems that John left .,it seems that John left.
5361,Several peoleee seem sck .,Several people seem sick.
5362,John considers several people sick .,John considers several people sick.
5363,There areeee several peopl sick .,There are several people sick.
5364,Seerval people Seem several peOple sik .,Several people seem several people sick.
5365,Several people are sick .,Several people are sick.
5366,Bll is sik .,Bill is sick.
5367,Ssuan hopes to sleep .,Susan hopes to sleep.
5368,Susan hopes dt sheEe will sleep .,Susan hopes that she will sleep.
5369,Evryone hopes to sleep .,Everyone hopes to sleep.
5370,Everyone hopes thaT eevryone will sleeppp .,Everyone hopes that everyone will sleep.
5371,"Only Churchill remembered giving the Blood , Sse88 and Tarrs speech .","Only Churchill remembered giving the Blood, Sweat and Tears speech."
5372,"Only Churcihll rembred his giving theee Blood , Sweat and TEaRs speech .","Only Churchill remembered his giving the Blood, Sweat and Tears speech."
5373,"Only Churchill remembered hmself giving the Blod , Sweat nd .","Only Churchill remembered himself giving the Blood, Sweat and."
5374,Susn HopeS herself to sleep .,Susan hopes herself to sleep.
5375,forrrrr John to hurt his friends is stupid .,for John to hurt his friends is stupid.
5376,t hurt his friends s stupid .,to hurt his friends is stupid.
5377,fr Jhn too hurt hmself is stupd .,for John to hurt himself is stupid.
5378,to hurt OnsLf is stupid .,to hurt oneself is stupid.
5379,John PromisEd Bill to leave .,John promised Bill to leave.
5380,John promised Mary that heeeeeeeee would leave .,John promised Mary that he would leave.
5381,John prrromised MaryYy to cut the grasS .,John promised Mary to cut the grass.
5382,Jhn promise Mary to control himselF .,John promise Mary to control himself.
5383,John sems to slep all dayy .,John seems to sleep all day.
5384,John hOpes to sLEep .,John hopes to sleep.
5385,John tried 2222222 sleep .,John tried to sleep.
5386,JoHn believes Bill to have slept .,John believes Bill to have slept.
5387,John believes that Bill has slept .,John believes that Bill has slept.
5388,JJJJJohn convinced Bill too sleep .,John convinced Bill to sleep.
5389,JohN believes it t be obbvious that BBBill leftt .,John believes it to be obvious that Bill left.
5390,JOhN believes it to bee raining .,John believes it to be raining.
5391,Bill cooked thE rice .,Bill cooked the rice.
5392,the rice was cookd by Bill .,the rice was cooked by Bill.
5393,Bill visited Mary .,Bill visited Mary.
5394,Mary was visted by Blll .,Mary was visited by Bill.
5395,jhn believes Bill to have coooked the rice .,John believes Bill to have cooked the rice.
5396,Jhn believves the rice t have bennn cooked by Bill .,John believes the rice to have been cooked by Bill.
5397,Johnn believes Bill to have visited Mary .,John believes Bill to have visited Mary.
5398,Jhn believesss Mary too have been vicited by Bill .,John believes Mary to have been visited by Bill.
5399,John convinced Billl to cook the rice .,John convinced Bill to cook the rice.
5400,John convinced Bill to visit Mary .,John convinced Bill to visit Mary.
5401,John bEliVees that Bill slpet .,John believes that Bill slept.
5402,I sent money .,I sent money.
5403,I sent Mary mney .,I sent Mary money.
5404,I sent money to Mary .,I sent money to Mary.
5405,I worked on Sunday in the city on that pjrct without a break .,I worked on Sunday in the city on that project without a break.
5406,I praised Mary .,I praised Mary.
5407,The moon glows in the darkness .,The moon glows in the darkness.
5408,The moon glows .,The moon glows.
5409,I sang aaa song wid Mary while yo did so wth Billl .,I sang a song with Mary while you did so with Bill.
5410,wh8 Mary did with BiLl was snG a song .,What Mary did with Bill was sing a song.
5411,She tried to leav,She tried to leave
5412,Who sid hee would give the cloak to Lee ?,Who said he would give the cloak to Lee?
5413,Which book about herslf did Jennyy say that Anson had written .,Which book about herself did Jenny say that Anson had written.
5414,Paul had eighty eight billion cixty thre million 4ty-four thousand nine hundreddd at,Paul had eighty eight billion sixty three million forty-four thousand nine hundred at
5415,The boy thought she was happy .,The boy thought she was happy.
5416,The landlord donated aa helciopter,The landlord donated a helicopter
5417,Most drgns have beenn neutered .,Most dragons have been neutered.
5418,Who did u meet all when youu were in Derry ?,Who did you meet all when you were in Derry?
5419,Jason perUSaded Medea to desert her familly .,Jason persuaded Medea to desert her family.
5420,Mchel abaaaandoned an old friendd at Mard Gras,Michael abandoned an old friend at Mardi Gras
5421,You friendsss of the kng re all the same,You friends of the king are all the same
5422,He is that kind of ctorrr,He is that kind of actor
5423,Meea tenddded to appear to b evill .,Medea tended to appear to be evil.
5424,Hes bound to cold do itttt,Hes bound to could do it
5425,Nathan reCeived the cloak frOm Benjmn,Nathan received the cloak from Benjamin
5426,That the world is round is ovbious .,That the world is round is obvious.
5427,"Poseidon wept , after the executonr lft .","Poseidon wept, after the executioner left."
5428,I skd wh did Medea poison .,I asked who did Medea poison.
5429,I nevr liked his analysis .,I never liked his analysis.
5430,I Might have aen some seaweed .,I might have eaten some seaweed.
5431,dere apppppears to be a ProbLem with this soltion .,There appears to be a problem with this solution.
5432,What JUl became was fond of Lloyd .,What Julie became was fond of Lloyd.
5433,Bill did not defe8 thhhee gods but Glgamsh did .,Bill did not defeat the gods but Gilgamesh did .
5434,Aphrodite frees animals,Aphrodite frees animals
5435,"Mdea , Jason poisoned .","Medea, Jason poisoned."
5436,Emily showed Benjaminnnnnnnn himself innnnnnn the mirrorr .,Emily showed Benjamin himself in the mirror.
5437,Jason Was killd by Mdeaaaa .,Jason was killed by Medea.
5438,Hwww did you eat te cake ?,How did you eat the cake?
5439,I asked who Mdea poisoned .,I asked who Medea poisoned.
5440,Aphrodite wanted to lIve andd Ishtar tried to,Aphrodite wanted to live and Ishtar tried to
5441,I wasss sitting nt unDer the tre but under the bush,I was sitting not under the tree but under the bush
5442,de child wails,The child wails
5443,Gilgamesh hasnntt left,Gilgamesh hasnt left
5444,Dracula thought that he wAs the Prnc of Darkness .,Dracula thought that he was the Prince of Darkness.
5445,He looked up the number .,He looked up the number.
5446,She has kissed her .,She has kissed her.
5447,Agamemnon stopped Jason casting the spell,Agamemnon stopped Jason casting the spell
5448,humans love to eat some disgruntled ld pigs in those ditches .,Humans love to eat some disgruntled old pigs in those ditches.
5449,Jason whispered that the phoenix hd escaped,Jason whispered that the phoenix had escaped
5450,Ron definitely has bought a dog .,Ron definitely has bought a dog.
5451,Who is iit obviosUs tht Plato loves .,Who is it obvious that Plato loves.
5452,That picture of JnnY n aa rbberrrrr drss doentt flatter her .,That picture of Jenny in a rubber dress doesnt flatter her.
5453,He mgiht culd go,He might could go
5454,Benjamin gave Lee the cloak and Nathan the chalce .,Benjamin gave Lee the cloak and Nathan the chalice.
5455,That mnkEy is ate the BannA,That monkey is ate the banana
5456,I boute aa book about Harry,I bought a book about Harry
5457,Who was it obvious that Plato loved ?,Who was it obvious that Plato loved?
5458,It was for Jnney that I intnded to be present .,It was for Jenny that I intended to be present.
5459,I think she is pregnantttt,I think she is pregnant
5460,Its extremely windy toy .,Its extremely windy today.
5461,JasOn wuld prefer Medea to have cursed AgamEmnon .,Jason would prefer Medea to have cursed Agamemnon.
5462,Who did Athena introdue tooO whom ?,Who did Athena introduce to whom?
5463,It appears that Poseidon owns a dragon,It appears that Poseidon owns a dragon
5464,I ha often eaten muuFfFsss .,I have often eaten muffins.
5465,Gilgamesh can seek Ishtar,Gilgamesh can seek Ishtar
5466,You kiked yourself,You kicked yourself
5467,Agamemnon seems tooooo have left .,Agamemnon seems to have left.
5468,The dragns had all eaten the pigs .,The dragons had all eaten the pigs.
5469,Anson shot the dnioasur with his rifle in the jngle,Anson shot the dinosaur with his rifle in the jungle
5470,I often have eaten muffins .,I often have eaten muffins.
5471,He kiiicked hiiimselffff,He kicked himself
5472,Gilgamesh hhhaS noT read the cuneiform tablets .,Gilgamesh has not read the cuneiform tablets.
5473,"He might maybe do thatttttttt , mghtnt He ?","He might maybe do that, mightnt he?"
5474,I intended for Jenny to be present .,I intended for Jenny to be present.
5475,Whose poem about Achillsssss did Homer prsade Jason that he should read ?,Whose poem about Achilles did Homer persuade Jason that he should read?
5476,Jason wuldddddd pprefer for Mede to have cursed AgAmemnon .,Jason would prefer for Medea to have cursed Agamemnon.
5477,I ased who Mdeea gavee whaat ?,I asked who Medea gave what?
5478,I hav every hope that youu wll dEfeat him .,I have every hope that you will defeat him.
5479,Paris s no mr,Paris is no more
5480,He will can do it,He will can do it
5481,We believed him to be the headmaster,We believed him to be the headmaster
5482,Who KIssed who ?,Who kissed who?
5483,Who did you say thatttt John thought would leave early ?,Who did you say that John thought would leave early?
5484,Cassandra has warnedd Agamemnon againn .,Cassandra has warned Agamemnon again.
5485,Gilgamesh has been fighting the dragon .,Gilgamesh has been fighting the dragon.
5486,Lcuys photograph of Janee,Lucys photograph of Jane
5487,Who didd Jason think Medea had poisoned ?,Who did Jason think Medea had poisoned?
5488,Gilgamesh may have quckly cast the spll,Gilgamesh may have quickly cast the spell
5489,de Ption boiled oover,The potion boiled over
5490,There arrived a new actor .,There arrived a new actor.
5491,I ate fruIt,I ate fruit
5492,I hopeddd tht yoU would defeatt him .,I hoped that you would defeat him.
5493,Who seems to be certain to leave frst ?,Who seems to be certain to leave first?
5494,His hen loves Anson .,His hen loves Anson.
5495,I ate a mango and Gillian did toooo .,I ate a mango and Gillian did too.
5496,Why did you eat theeee cake ?,Why did you eat the cake?
5497,Perhaps Gilgamesh should be leaving,Perhaps Gilgamesh should be leaving
5498,I want t can do tt,I want to can do it
5499,Jasonnn intendeD for him too learn mgic .,Jason intended for him to learn magic.
5500,I went to the shop for 2 get bread .,I went to the shop for to get bread.
5501,I askd which kng invaded which city .,I asked which king invaded which city.
5502,We made th claim th8 Perss killed the Gorgon .,We made the claim that Perseus killed the Gorgon.
5503,Plato lissteneddddddd to DP demosthEnEs oraitiion about Philip .,Plato listened to DP Demosthenes oration about Philip.
5504,Theeee ld house CollpaseD .,The old house collapsed.
5505,Howw are you feeling ?,How are you feeling?
5506,Aphrodite MiSsEs GGilgamesh .,Aphrodite misses Gilgamesh.
5507,Anson Vvvery hapiply demoniezd David .,Anson very happily demonized David.
5508,That Plato loved Aster proved to be his undoing .,That Plato loved Aster proved to be his undoing.
5509,Hasnt the potin worked ?,Hasnt the potion worked?
5510,Bills reading SShakespearee satisfied me,Bills reading Shakespeare satisfied me
5511,Everyyy vampireeee slept .,Every vampire slept.
5512,I might be leanggggg soon .,I might be leaving soon.
5513,The man I saw lEft .,The man I saw left.
5514,"Becse they hated hm , the druds forceddd Jasn to live n a cupboard","Because they hated him, the druids forced Jason to live in a cupboard"
5515,WWe kickedd orselves,We kicked ourselves
5516,Did Medea poison Jason ?,Did Medea poison Jason?
5517,Aphroditee freed anmals,Aphrodite freed animals
5518,The bok was donated to tHE hspital .,The book was donated to the hospital.
5519,Medea poisnoed more children than Jason dd .,Medea poisoned more children than Jason did.
5520,Ntahan showed Benjamin hismelf in theeee mirror .,Nathan showed Benjamin himself in the mirror.
5521,Tatht Plato lovdd Astr deeply was bivus .,That Plato loved Aster deeply was obvious.
5522,He kkied him,He kicked him
5523,Jason expected the doc2r to trat Meeda,Jason expected the doctor to treat Medea
5524,The derapists analysis of Lucy,The therapists analysis of Lucy
5525,Wehreeeeee are you living ?,Where are you living?
5526,Who showed what to wh ?,Who showed what to who?
5527,"Medea thought tht , after thee executioner hd left , Psedon would be relieved .","Medea thought that, after the executioner had left, Poseidon would be relieved."
5528,The consulss gift of the gladiator to himself .,The consuls gift of the gladiator to himself.
5529,All th drgns haveee been slain .,All the dragons have been slain.
5530,Gilgmaesh should slowly beee tikling theee mandrake .,Gilgamesh should slowly be tickling the mandrake.
5531,Odysseus plnnd to hear tHe sirens .,Odysseus planned to hear the sirens.
5532,Bill reding ShakEsEparE and Men singing SChuberttT satisfies me,Bill reading Shakespeare and Maureen singing Schubert satisfies me
5533,The shooting of the huntrs was very loud .,The shooting of the hunters was very loud.
5534,TruMaN punched Johnson,Truman punched Johnson
5535,He became fond of pts .,He became fond of peanuts.
5536,THe therapit analysed Lucy,The therapist analysed Lucy
5537,Draacula thought himself 2 be the Pnce f Darkness .,Dracula thought himself to be the Prince of Darkness.
5538,Athena introduced Meda to Jason,Athena introduced Medea to Jason
5539,"Hell no cann do ittt , will he ?","Hell no can do it, will he?"
5540,Anson is incredbily difFicult to please .,Anson is incredibly difficult to please.
5541,It wass claimed by EVerEYonee thatt Thee posn was neutralised,It was claimed by everyone that the poison was neutralised
5542,The banana iss being aten by that monkey .,The banana is being eaten by that monkey.
5543,I want to kissssss pigs,I want to kiss pigs
5544,Brn letters to him !,Burn letters to him!
5545,His analysis offf her was flawed,His analysis of her was flawed
5546,Did the potion bboilll over ?,Did the potion boil over?
5547,I didnt se him ever .,I didnt see him ever.
5548,We all thoughtt him to b nhappy,We all thought him to be unhappy
5549,Wch book areee youu reding ?,Which book are you reading?
5550,THat monkey is eatng the banana .,That monkey is eating the banana.
5551,That bottle ffff wter mmight have cracked ooopen .,That bottle of water might have cracked open.
5552,Whooooo did Gilgamesh beliv to hv kissed Aphrodite ?,Who did Gilgamesh believe to have kissed Aphrodite?
5553,Paul had tHreE affairs . . .,Paul had three affairs . . .
5554,Close the door !,Close the door!
5555,I was ting notttt a peachhhhh but an apple,I was eating not a peach but an apple
5556,Whch pm did youu go to hearr a recital of last nght ?,Which poem did you go to hear a recital of last night?
5557,I hAvE sent 0 ltrs to Environmental Haeth .,I have sent 0 letters to Environmental Heath.
5558,Whyyy dd you killl Pegasus ?,Why did you kill Pegasus?
5559,Aphrodite dOes fRe animals,Aphrodite does free animals
5560,Gilgamesh will seek Ishtar,Gilgamesh will seek Ishtar
5561,I assumed Him to be innocentttt,I assumed him to be innocent
5562,I am being whipped,I am being whipped
5563,Nver will I do syntax again .,Never will I do syntax again.
5564,The children wail,The children wail
5565,Mary fellll .,Mary fell.
5566,I inquired if we could leave earlY .,I inquired if we could leave early.
5567,Bnjammin gave theeeee cloak and sent the book too Lee,Benjamin gave the cloak and sent the book to Lee
5568,Herrra triied to appear to be hpapy .,Hera tried to appear to be happy.
5569,The Emperors eevry wish ws immed8ly cred out .,The Emperors every wish was immediately carried out.
5570,Jenny has eaten a cakeee .,Jenny has eaten a cake.
5571,The sheep cryyyyyy,The sheep cry
5572,"H canT possbly do tht , can he","He cant possibly do that, can he"
5573,We believed tht Aphrodite was omnipotent .,We believed that Aphrodite was omnipotent.
5574,Which book about Ulysses did you say that yuuuu would read ?,Which book about Ulysses did you say that you would read?
5575,GIlgameSh iis not reeeeadinggg the cunifrm tabls .,Gilgamesh is not reading the cuneiform tablets.
5576,Jason persuaded Medea to try to run way .,Jason persuaded Medea to try to run away.
5577,We belevd afrodite to be mniptent,We believed Aphrodite to be omnipotent
5578,That bottle of waterrrrrrrrr migt have .,That bottle of water might have.
5579,III dont remember what all I said ?,I dont remember what all I said?
5580,That Aphrodite was so promiscuous astounded the otr gods .,That Aphrodite was so promiscuous astounded the other gods.
5581,I claimeddd thT she ws pregnanttt,I claimed that she was pregnant
5582,David rote that you said that Anson thought thatt Jlie hadddddD fainted,David wrote that you said that Anson thought that Julie had fainted
5583,It rainedddd,It rained
5584,"PoeisdOn was asleepp , when the excutioner rrved .","Poseidon was asleep, when the executioner arrived."
5585,People arE in thhh garden,People are in the garden
5586,Anson became happy,Anson became happy
5587,It is toughhhhh toooo teach sytanx .,It is tough to teach syntax.
5588,"Theres going to be a party , isnt there ?","Theres going to be a party, isnt there?"
5589,Theyyyy brought the hat to tthe teacher,They brought the hat to the teacher
5590,Wht Medea attempted wassss to poisonn hr children .,What Medea attempted was to poison her children.
5591,Benjmin gave The cloak 0 and sent de book to lee,Benjamin gave the cloak 0 and sent the book to Lee
5592,Th man chuccklesss,The man chuckles
5593,Milena will mke pastaaaa .,Milena will make pasta.
5594,Aphrodite dd fereee ainmalsss,Aphrodite did free animals
5595,Gilgamesh shoUld seeK Ishar,Gilgamesh should seek Ishtar
5596,ThY depend n Mary .,They depend on Mary.
5597,Hmans lovee tooooooo eat te old pigs .,Humans love to eat the old pigs.
5598,Its undr the bed thats th bt placce toO hidee,Its under the bed thats the best place to hide
5599,He left .,He left.
5600,That picturee of her plasEsSSsss Jenny .,That picture of her pleases Jenny.
5601,Constantly reading ShAkspare satisfied Me,Constantly reading Shakespeare satisfied me
5602,dere was a dragn in the cave .,There was a dragon in the cave.
5603,People lke Lrd .,People like lard.
5604,These oneess are to b smuggledd from Hungary .,These ones are to be smuggled from Hungary.
5605,we donated aa chopper 2 the new hsptl,We donated a chopper to the new hospital
5606,Thsee exepnsive and iiillegal bottllesssss of Absinth are to beee smuggled from HungaryyyyyyY .,These expensive and illegal bottles of Absinthe are to be smuggled from Hungary.
5607,A programme aBoUt Euripidessssss is on a Radio 4 tonihtgttt .,A programme about Euripides is on a Radio 4 tonight.
5608,Lucys aanalysis was the most sccessfl,Lucys analysis was the most successful
5609,Medea tried to poison her children .,Medea tried to poison her children.
5610,Wh8 I said was that we woulddddd go .,What I said was that we would go.
5611,There are many fsh N tHe sea .,There are many fish in the sea.
5612,Jason gave the poisoned cloths to who ?,Jason gave the poisoned clothes to who?
